test_name_normalized,plain_language_summary,why_it_matters,common_reasons_high,common_reasons_low,when_to_contact_clinician,citation_url,source_id
ALT,ALT is a common lab test. Results are interpreted in the context of your symptoms and other labs.,It can help monitor overall health and specific organs depending on the test.,"May reflect many causes including dehydration, diet, medications, or organ function changes.","May reflect nutritional status, hydration, or other conditions depending on the test.",Contact your clinician if you have concerning symptoms or repeated abnormal results.,https://medlineplus.gov/lab-tests/,S01
AST,AST is a common lab test. Results are interpreted in the context of your symptoms and other labs.,It can help monitor overall health and specific organs depending on the test.,"May reflect many causes including dehydration, diet, medications, or organ function changes.","May reflect nutritional status, hydration, or other conditions depending on the test.",Contact your clinician if you have concerning symptoms or repeated abnormal results.,https://medlineplus.gov/lab-tests/,S01
Alkaline phosphatase,Alkaline phosphatase is a common lab test. Results are interpreted in the context of your symptoms and other labs.,It can help monitor overall health and specific organs depending on the test.,"May reflect many causes including dehydration, diet, medications, or organ function changes.","May reflect nutritional status, hydration, or other conditions depending on the test.",Contact your clinician if you have concerning symptoms or repeated abnormal results.,https://medlineplus.gov/lab-tests/,S01
Total bilirubin,Total bilirubin is a common lab test. Results are interpreted in the context of your symptoms and other labs.,It can help monitor overall health and specific organs depending on the test.,"May reflect many causes including dehydration, diet, medications, or organ function changes.","May reflect nutritional status, hydration, or other conditions depending on the test.",Contact your clinician if you have concerning symptoms or repeated abnormal results.,https://medlineplus.gov/lab-tests/,S01
Albumin,Albumin is a common lab test. Results are interpreted in the context of your symptoms and other labs.,It can help monitor overall health and specific organs depending on the test.,"May reflect many causes including dehydration, diet, medications, or organ function changes.","May reflect nutritional status, hydration, or other conditions depending on the test.",Contact your clinician if you have concerning symptoms or repeated abnormal results.,https://medlineplus.gov/lab-tests/,S01
Total cholesterol,"A lipid panel measures different fats in your blood (LDL, HDL, and triglycerides).",It helps estimate heart and blood vessel risk and guides lifestyle/medication decisions.,"Dietary patterns, genetics, diabetes, thyroid issues, and other factors.",Very low values are uncommon; interpretation depends on the specific test.,"Discuss results with your clinician, especially if LDL or triglycerides are high.",https://www.nhlbi.nih.gov/health-topics/high-blood-cholesterol,S08
LDL cholesterol (calculated),"A lipid panel measures different fats in your blood (LDL, HDL, and triglycerides).",It helps estimate heart and blood vessel risk and guides lifestyle/medication decisions.,"Dietary patterns, genetics, diabetes, thyroid issues, and other factors.",Very low values are uncommon; interpretation depends on the specific test.,"Discuss results with your clinician, especially if LDL or triglycerides are high.",https://www.nhlbi.nih.gov/health-topics/high-blood-cholesterol,S08
HDL cholesterol,"A lipid panel measures different fats in your blood (LDL, HDL, and triglycerides).",It helps estimate heart and blood vessel risk and guides lifestyle/medication decisions.,"Dietary patterns, genetics, diabetes, thyroid issues, and other factors.",Very low values are uncommon; interpretation depends on the specific test.,"Discuss results with your clinician, especially if LDL or triglycerides are high.",https://www.nhlbi.nih.gov/health-topics/high-blood-cholesterol,S08
Triglycerides,"A lipid panel measures different fats in your blood (LDL, HDL, and triglycerides).",It helps estimate heart and blood vessel risk and guides lifestyle/medication decisions.,"Dietary patterns, genetics, diabetes, thyroid issues, and other factors.",Very low values are uncommon; interpretation depends on the specific test.,"Discuss results with your clinician, especially if LDL or triglycerides are high.",https://www.nhlbi.nih.gov/health-topics/high-blood-cholesterol,S08
TSH,TSH helps evaluate thyroid function.,"Thyroid hormones affect energy, heart rate, and metabolism.",May suggest underactive thyroid depending on other thyroid labs and symptoms.,May suggest overactive thyroid depending on other thyroid labs and symptoms.,"Contact your clinician if you have palpitations, unexplained weight changes, severe fatigue, or abnormal results.",https://medlineplus.gov/thyroidtests.html,S01
Free T4,Free T4 helps evaluate thyroid function.,"Thyroid hormones affect energy, heart rate, and metabolism.",May suggest underactive thyroid depending on other thyroid labs and symptoms.,May suggest overactive thyroid depending on other thyroid labs and symptoms.,"Contact your clinician if you have palpitations, unexplained weight changes, severe fatigue, or abnormal results.",https://medlineplus.gov/thyroidtests.html,S01
Hemoglobin,These are common parts of a complete blood count (CBC).,"CBC helps assess infection/inflammation, anemia, and clotting-related conditions.","Infection, inflammation, stress, or other causes depending on the component.",Anemia or low cell counts can have many causes and need clinician interpretation.,"Seek care if you have severe bleeding, shortness of breath, fainting, or persistent fever.",https://medlineplus.gov/lab-tests/complete-blood-count-cbc/,S01
WBC,These are common parts of a complete blood count (CBC).,"CBC helps assess infection/inflammation, anemia, and clotting-related conditions.","Infection, inflammation, stress, or other causes depending on the component.",Anemia or low cell counts can have many causes and need clinician interpretation.,"Seek care if you have severe bleeding, shortness of breath, fainting, or persistent fever.",https://medlineplus.gov/lab-tests/complete-blood-count-cbc/,S01
Platelets,These are common parts of a complete blood count (CBC).,"CBC helps assess infection/inflammation, anemia, and clotting-related conditions.","Infection, inflammation, stress, or other causes depending on the component.",Anemia or low cell counts can have many causes and need clinician interpretation.,"Seek care if you have severe bleeding, shortness of breath, fainting, or persistent fever.",https://medlineplus.gov/lab-tests/complete-blood-count-cbc/,S01
Ferritin,Ferritin is a common lab test. Results are interpreted in the context of your symptoms and other labs.,It can help monitor overall health and specific organs depending on the test.,"May reflect many causes including dehydration, diet, medications, or organ function changes.","May reflect nutritional status, hydration, or other conditions depending on the test.",Contact your clinician if you have concerning symptoms or repeated abnormal results.,https://medlineplus.gov/lab-tests/,S01
Vitamin D (25-OH),Vitamin D (25-OH) is a common lab test. Results are interpreted in the context of your symptoms and other labs.,It can help monitor overall health and specific organs depending on the test.,"May reflect many causes including dehydration, diet, medications, or organ function changes.","May reflect nutritional status, hydration, or other conditions depending on the test.",Contact your clinician if you have concerning symptoms or repeated abnormal results.,https://medlineplus.gov/lab-tests/,S01
CRP,CRP is a common lab test. Results are interpreted in the context of your symptoms and other labs.,It can help monitor overall health and specific organs depending on the test.,"May reflect many causes including dehydration, diet, medications, or organ function changes.","May reflect nutritional status, hydration, or other conditions depending on the test.",Contact your clinician if you have concerning symptoms or repeated abnormal results.,https://medlineplus.gov/lab-tests/,S01
Urinalysis - Protein,Urinalysis checks for substances in urine such as protein or glucose.,"It can help screen for kidney issues, diabetes, and urinary tract problems.","Protein/glucose can appear with kidney disease, diabetes, or temporary conditions.",Negative is typically expected for these screening items.,"Contact your clinician if the result is positive or you have pain with urination, fever, or blood in urine.",https://medlineplus.gov/lab-tests/urinalysis/,S01
Urinalysis - Glucose,Urinalysis checks for substances in urine such as protein or glucose.,"It can help screen for kidney issues, diabetes, and urinary tract problems.","Protein/glucose can appear with kidney disease, diabetes, or temporary conditions.",Negative is typically expected for these screening items.,"Contact your clinician if the result is positive or you have pain with urination, fever, or blood in urine.",https://medlineplus.gov/lab-tests/urinalysis/,S01
